EA_TUNNUS;LAHIN_TSA;NIMI_FI;EANIMI_FI;TIE;TIEOSA;ETAISYYS;X;Y;MUNICIPALITY
C0152801;1043;Tie 1 Veikkola;Helsinkiin;1;8;0;6684632;359173;Kirkkonummi
C0152900;1043;Tie 1 Palojärvi;;1;9;0;6686993;354445;Vihti
C0153000;1043;Tie 1 Hevoskallio;;1;10;1064;6688283;349232;Lohja
C0153100;1065;Tie 1 Muijala;;1;11;0;6688237;346280;Lohja
C0153201;1005;Tie 4 Korso;Lahteen;4;106;1790;6693013;395984;Vantaa
C0153202;1005;Tie 4 Korso;Helsinkiin;4;106;1790;6693013;395984;Vantaa
C0153209;1005;Tie 4 Korso;Tienpinta;4;106;1790;6693013;395984;Vantaa
C0153300;1041;Tie 3 Klaukkala;Tie 3;3;103;7440;6692912;379084;Vantaa
C0153501;1034;Tie 101 Pirkkola;Kehä I Itään;101;6;0;6679465;383699;Helsinki
C0153502;1034;Tie 101 Pirkkola;Kehä I Länteen;101;6;0;6679465;383699;Helsinki
C0153503;1034;Tie 101 Pirkkola;Tie 3 Hämeenlinnaan;101;6;0;6679465;383699;Helsinki
C0153504;1034;Tie 101 Pirkkola;Tie 3 Helsinkiin;101;6;0;6679465;383699;Helsinki
C0153509;1034;Tie 101 Pirkkola;Tienpinta;101;6;0;6679465;383699;Helsinki
C0153601;1059;Tie 167 Hallila;Koskenkylään;167;12;3893;6721179;437759;Myrskylä
C0153602;1059;Tie 167 Hallila;Orimattilaan;167;12;3893;6721179;437759;Myrskylä
C0153609;1059;Tie 167 Hallila;Tienpinta;167;12;3893;6721179;437759;Myrskylä
C0153801;1037;Tie 6 Lapinjärvi;Kouvolaan;6;120;2580;6720555;456178;Lapinjärvi
C0153802;1037;Tie 6 Lapinjärvi;Helsinkiin;6;120;2580;6720555;456178;Lapinjärvi
C0153803;1037;Tie 6 Lapinjärvi;Ylikulkusilta;6;120;2580;6720555;456178;Lapinjärvi
C0153809;1037;Tie 6 Lapinjärvi;Tienpinta;6;120;2580;6720555;456178;Lapinjärvi
C0153900;1071;Helsinki, Vuosaaren satama;;99999;1;1;6678006;398754;Helsinki
C0155500;1073;Tie 170 Helsinki, Gubbacka;Tie 170 - Kehä III -liittymä;170;4;0;6680155;397382;Helsinki
C0155800;1047;Tie 51 Suvisilta;;51;3;1000;6672333;378553;Espoo
