NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;NIMI_SE;NIMI_EN;TIE;TIEOSA;ETAISYYS;X;Y;KORKEUS;MAAKUNNAN_NIMI
23591;591;L_vt15_Kiehuva;Tie 15 Kouvola, Kiehuva;Väg 15 Kouvola, Kiehuva;Road 15 Kouvola, Kiehuva;15;6;5538;6742499;488486;0;Kymenlaakso
23527;527;L_vt15_Valkeala;Tie 15 Valkeala;Väg 15 Valkeala;Road 15 Valkeala;15;15;705;6771327;503342;0;Kymenlaakso
23503;503;L_vt26_Saaramaa;Tie 26 Kouvola, Saaramaa;Väg 26 Kouvola, Saaramaa;Road 26 Kouvola, Saaramaa;26;8;4792;6745759;521931;0;Kymenlaakso
23584;584;L_st170_Pyhtää;Tie 170 Pyhtää;Väg 170 Pyttis;Road 170 Pyhtää;170;25;962;6705903;482537;0;Kymenlaakso
23501;501;L_st170_Siltakylä;Tie 170 Pyhtää, Siltakylä;Väg 170 Pyttis, Broby;Road 170 Pyhtää, Siltakylä;170;26;1491;6706665;486724;0;Kymenlaakso
23587;587;L_vt6_Somerharju;Tie 6 Somerharju;Väg 6 Somerharju;Road 6 Somerharju;6;207;2047;6753388;520924;0;Etelä-Karjala
23522;522;L_vt6_Luumäki;Tie 6 Luumäki;Väg 6 Luumäki;Road 6 Luumäki;6;210;1914;6755622;535774;0;Etelä-Karjala
23556;556;L_vt6_Selkäharju;Tie 6 Selkäharju;Väg 6 Selkäharju;Road 6 Selkäharju;6;215;1100;6766415;557326;0;Etelä-Karjala
23557;557;L_vt6_Lavola;Tie 6 Lavola;Väg 6 Lavola;Road 6 Lavola;6;216;617;6767395;560854;0;Etelä-Karjala
23558;558;L_vt6_Mattila;Tie 6 Mattila;Väg 6 Mattila;Road 6 Mattila;6;216;2568;6767943;562723;0;Etelä-Karjala
23559;559;L_vt6_Myllymäki;Tie 6 Myllymäki;Väg 6 Myllymäki;Road 6 Myllymäki;6;301;1248;6768149;564779;0;Etelä-Karjala
23560;560;L_vt6_Karhuvuori;Tie 6 Karhuvuori;Väg 6 Karhuvuori;Road 6 Karhuvuori;6;302;1989;6769129;567293;0;Etelä-Karjala
23561;561;L_vt6_Hartikkala;Tie 6 Hartikkala;Väg 6 Hartikkala;Road 6 Hartikkala;6;302;4277;6770349;569241;0;Etelä-Karjala
23562;562;L_vt6_Mälkiä;Tie 6 Mälkiä;Väg 6 Mälkiä;Road 6 Mälkiä;6;303;1081;6771482;570701;0;Etelä-Karjala
23534;534;L_vt6_Muukko;Tie 6 Muukko;Väg 6 Muukko;Road 6 Muukko;6;304;3636;6774901;575760;0;Etelä-Karjala
23563;563;L_vt6_Joutseno;Tie 6 Joutseno;Väg 6 Joutseno;Road 6 Joutseno;6;305;2500;6777128;580577;0;Etelä-Karjala
23564;564;L_vt6_Vesivalo;Tie 6 Vesivalo;Väg 6 Vesivalo;Road 6 Vesivalo;6;307;3915;6782422;590351;0;Etelä-Karjala
23531;531;L_vt6_Vuoksenniska;Tie 6 Vuoksenniska;Väg 6 Vuoksenniska;Road 6 Vuoksenniska;6;311;1070;6790605;600445;0;Etelä-Karjala
23524;524;L_vt6_Rautjärvi;Tie 6 Rautjärvi;Väg 6 Rautjärvi;Road 6 Rautjärvi;6;318;2733;6809806;623224;0;Etelä-Karjala
23533;533;L_vt13_Karhusjärvi;Tie 13 Karhusjärvi;Väg 13 Karhusjärvi;Road 13 Karhusjärvi;13;240;391;6767656;573770;0;Etelä-Karjala
23547;547;L_vt13_Nuijamaa_MP5;Tie 13 Nuijamaa;Väg 13 Nuijamaa;Road 13 Nuijamaa;13;241;3443;6761178;580764;0;Etelä-Karjala
23582;582;L_vt13_Nuijamaa;Tie 13 Nuijamaa;Väg 13 Nuijamaa;Road 13 Nuijamaa;13;241;5078;6758637;583178;0;Etelä-Karjala
23597;597;L_vt13_Nuijamaa_rask;Tie 13 Nuijamaa, raskaat;Väg 13 Nuijamaa;Road 13 Nuijamaa;13;241;5705;6758637;583178;0;Etelä-Karjala
23306;306;L_vt13_Nuijamaa_Uusi;Tie 13 Nuijamaa;Väg 13 Nuijamaa;Road 13 Nuijamaa;13;241;6586;6761178;580764;0;Etelä-Karjala
23528;528;L_kt62_Ruokolahti;Tie 62 Ruokolahti;Väg 62 Ruokolax;Road 62 Ruokolahti;62;20;2843;6805745;588373;0;Etelä-Karjala
23535;535;L_kt62_Imatra_raja1;Tie 62 Imatra raja 1;Väg 62 Imatra gränsen 1;Road 62 Imatra border 1;62;25;3997;6779208;597965;0;Etelä-Karjala
23532;532;L_kt62_Imatra_raja2;Tie 62 Imatra raja 2;Väg 62 Imatra gränsen 2;Road 62 Imatra border 2;62;27;71;6778405;598844;0;Etelä-Karjala
23593;593;L_st387_Ylämaa;Tie 387 Ylämaa;Väg 387 Ylämaa;Road 387 Ylämaa;387;7;3343;6737099;554074;0;Etelä-Karjala
23630;630;L_vt5_Kuortti;Tie 5 Pertunmaa, Kuortti;Väg 5 Pertunmaa, Kuortti;Road 5 Pertunmaa, Kuortti;5;116;6696;6807927;466982;0;Etelä-Savo
23602;602;L_vt5_Toivola;Tie 5 Mäntyharju;Väg 5 Mäntyharju;Road 5 Mäntyharju;5;120;79;6815341;485943;0;Etelä-Savo
23627;627;L_vt5_Nuutilanmäki;Tie 5 Juva, Nuutilanmäki;Väg 5 Jockas, Nuutilanmäki;Road 5 Juva, Nuutilanmäki;5;133;6185;6851622;531591;0;Etelä-Savo
23603;603;L_vt5_Joroinen;Tie 5 Joroinen;Väg 5 Jorois;Road 5 Joroinen;5;142;483;6889849;543696;0;Etelä-Savo
23631;631;L_vt5_Kuvansi_uusi;Tie 5 Kuvansi;Väg 5 Kuvansi;Road 5 Kuvansi;5;145;1883;6905287;544915;0;Etelä-Savo
23622;622;L_vt13_Kangasniemi;Tie 13 Kangasniemi;Väg 13 Kangasniemi;Road 13 Kangasniemi;13;206;480;6884894;473893;0;Etelä-Savo
23604;604;L_vt13_Ristiina;Tie 13 Ristiina;Väg 13 Kristina;Road 13 Ristiina;13;223;2830;6824788;513530;0;Etelä-Savo
23526;526;L_vt13_Suomenniemi;Tie 13 Suomenniemi;Väg 13 Suomenniemi;Road 13 Suomenniemi;13;230;3106;6798364;520602;0;Etelä-Savo
23605;605;L_vt14_Juva1;Tie 14 Juva;Väg 14 Jockas;Road 14 Juva;14;1;1203;6863130;543170;0;Etelä-Savo
23632;632;L_vt14_Hevonpäänniemi;Tie 14 Savonlinna, Hevonpäänniemi;Väg 13 Nyslott, Hevonpäänniemi;Road 14 Savonlinna, Hevonpäänniem;14;14;1866;6859263;597282;0;Etelä-Savo
23606;606;L_vt14_Savonlinna;Tie 14 Savonlinna;Väg 14Nyslott;Road 14 Savonlinna;14;16;1750;6861564;602538;0;Etelä-Savo
23629;629;L_vt23_Siikamäki;Tie 23 Pieksämäki, Siikamä;Väg 23 Pieksämäki, Siikamäki;Road 23 Pieksämäki, Siikamäki;23;314;2634;6906574;520692;0;Etelä-Savo
23607;607;L_kt72_Virtasalmi;Tie 72 Virtasalmi;Väg 72 Virtasalmi;Road 72 Virtasalmi;72;13;1100;6888117;512916;0;Etelä-Savo
23801;801;L_vt5_Leppävirta;Tie 5 Leppävirta;Väg 5 Leppävirta;Road 5 Leppävirta;5;151;5000;6932245;535130;0;Pohjois-Savo
23825;825;L_vt5_Hiltulanlahti;Tie 5 Hiltulanlahti;Väg 5 Hiltulanlahti;Road 5 Hiltulanlahti;5;158;1170;6964552;530463;0;Pohjois-Savo
23832;832;L_vt5_Levänen;Tie 5 Levänen;Väg 5 Levänen;Road 5 Levänen;5;159;3490;6971237;531530;98;Pohjois-Savo
23828;828;L_vt5_Rahusenlampi;Tie 5 Rahusenlampi;Väg 5 Rahusenlampi;Road 5 Rahusenlampi;5;201;2216;6976724;534436;0;Pohjois-Savo
23834;834;L_vt5_Tikkalansaari;;;;5;202;2230;6980535;534541;0;Pohjois-Savo
23835;835;L_vt5_Sorsasalo_Vuorela;;;;5;202;3820;6981771;535355;0;Pohjois-Savo
23836;836;L_vt5_Vuorela;;;;5;203;1084;6983782;535795;0;Pohjois-Savo
23803;803;L_vt5_Siilinjärvi;Tie 5 Siilinjärvi;Väg 5 Siilinjärvi;Road 5 Siilinjärvi;5;206;3500;6997339;532690;0;Pohjois-Savo
23826;826;L_vt5_Iisalmi;Tie 5 Iisalmi;Väg 5 Idensalmi;Road 5 Iisalmi;5;217;4750;7048448;512372;0;Pohjois-Savo
23821;821;L_vt9_Suonenjoki;Tie 9 Suonenjoki;Väg 9 Suonenjoki;Road 9 Suonenjoki;9;323;4500;6949661;521306;0;Pohjois-Savo
23827;827;L_vt9_Jännevirta;Tie 17 Jännevirta;Väg 17 Jännevirta;Road 17 Jännevirta;9;329;3786;6980299;544787;0;Pohjois-Savo
23804;804;L_vt9_Tuusniemi;Tie 9 Tuusniemi;Väg 9 Tuusniemi;Road 9 Tuusniemi;9;333;5100;6971820;567789;0;Pohjois-Savo
23807;807;L_vt27_Kiuruvesi;Tie 27 Kiuruvesi;Väg 27 Idensalmi, Kiuruvesi;Road 27 Kiuruvesi;27;21;1757;7060756;472134;0;Pohjois-Savo
23833;833;L_kt75_Pajukoski;Tie 75 Pajukoski;Väg 75 Pajukoski;Road 75 Pajukoski;75;3;2610;7000879;541619;0;Pohjois-Savo
23824;824;L_kt75_Nilsiä;Tie 75 Nilsiä;Väg 75 Nilsiä;Road 75 Nilsiä;75;6;3000;7003348;553703;0;Pohjois-Savo
23805;805;L_kt75_Rautavaara;Tie 75 Rautavaara;Väg 75 Rautavaara;Road 75 Rautavaara;75;13;6500;7027677;578569;0;Pohjois-Savo
23806;806;L_kt77_Pielavesi;Tie 77 Pielavesi;Väg 77 Pielavesi;Road 77 Pielavesi;77;24;2183;7007293;485630;0;Pohjois-Savo
23822;822;L_kt88_Vieremä;Tie 88 Vieremä;Väg 88 Vieremä;Road 88 Vieremä;88;28;6760;7069255;498764;0;Pohjois-Savo
23732;732;L_vt6_Kousa;Tie 6 Kesälahti, Kousa;Väg 6 Kesälax, Kousa;Road 6 Kesälahti, Kousa;6;334;6447;6874619;650616;0;Pohjois-Karjala
23731;731;L_vt6_Reijola;Tie 6 Reijola;Väg 6 Reijola;Road 6 Reijola;6;348;1096;6936584;647282;0;Pohjois-Karjala
23733;733;L_vt6_Joensuu2;Tie 6 Joensuu;Väg 6 Åminne;Road 6 Joensuu;6;350;2080;6945679;642696;0;Pohjois-Karjala
23727;727;L_vt6_Kontiolahti2;Tie 6 Kontiolahti;Väg 6 Kontiolax;Road 6 Kontiolahti;6;401;5210;6950789;642764;0;Pohjois-Karjala
23725;725;L_vt6_Juuka2;Tie 6 Juuka 2;Väg 6 Juga 2;Road 6 Juuka 2;6;414;5400;7019477;611400;0;Pohjois-Karjala
23701;701;L_vt9_Viinijärvi;Tie 9 Viinijärvi;Väg 9 Viinijärvi;Road 9 Viinijärvi;9;345;140;6952127;607748;0;Pohjois-Karjala
23726;726;L_vt9_Ylämylly;Tie 9 Liperi, Ylämylly;Väg 9 Liperi, Ylämylly;Road 9 Liperi, Ylämylly;9;351;2175;6946512;632476;0;Pohjois-Karjala
23730;730;L_vt9_Noljakka;Tie 9 Noljakka;Väg 9 Noljakka;Road 9 Noljakka;9;353;808;6946692;639108;86;Pohjois-Karjala
23729;729;L_vt9_Kaurila;Tie 70 Tohmajärvi, Kaurila;Väg 70 Tohmajärvi, Kaurila;Road 70 Tohmajärvi, Kaurila;9;360;4645;6898852;683978;0;Pohjois-Karjala
